"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"03.01.2021 06:45 - 03.01.2021 07:00","3523","3933"
"03.01.2021 07:00 - 03.01.2021 07:15","3603","4002"
"03.01.2021 07:15 - 03.01.2021 07:30","3645","3998"
"03.01.2021 07:30 - 03.01.2021 07:45","3726","4038"
"03.01.2021 07:45 - 03.01.2021 08:00","3788","4100"
"03.01.2021 08:00 - 03.01.2021 08:15","3879","4173"
"03.01.2021 08:15 - 03.01.2021 08:30","3959","4238"
"03.01.2021 08:30 - 03.01.2021 08:45","4024","4323"
"03.01.2021 08:45 - 03.01.2021 09:00","4064","4414"
"03.01.2021 09:00 - 03.01.2021 09:15","4119","4535"
"03.01.2021 09:15 - 03.01.2021 09:30","4133","4630"
"03.01.2021 09:30 - 03.01.2021 09:45","4136","4712"
"03.01.2021 09:45 - 03.01.2021 10:00","4178","4783"
"03.01.2021 10:00 - 03.01.2021 10:15","4213","4841"
"03.01.2021 10:15 - 03.01.2021 10:30","4262","4891"
"03.01.2021 10:30 - 03.01.2021 10:45","4289","4930"
"03.01.2021 10:45 - 03.01.2021 11:00","4310","4948"
"03.01.2021 11:00 - 03.01.2021 11:15","4347","4973"
"03.01.2021 11:15 - 03.01.2021 11:30","4386","5018"
"03.01.2021 11:30 - 03.01.2021 11:45","4401","5028"
"03.01.2021 11:45 - 03.01.2021 12:00","4425","5047"
"03.01.2021 12:00 - 03.01.2021 12:15","4435","5037"
"03.01.2021 12:15 - 03.01.2021 12:30","4433","5017"
"03.01.2021 12:30 - 03.01.2021 12:45","4422","4980"
"03.01.2021 12:45 - 03.01.2021 13:00","4377","4927"
"03.01.2021 13:00 - 03.01.2021 13:15","4308","4898"
"03.01.2021 13:15 - 03.01.2021 13:30","4264","4852"
"03.01.2021 13:30 - 03.01.2021 13:45","4215","4813"
"03.01.2021 13:45 - 03.01.2021 14:00","4157","4782"
"03.01.2021 14:00 - 03.01.2021 14:15","4196","4819"
"03.01.2021 14:15 - 03.01.2021 14:30","4171","4822"
"03.01.2021 14:30 - 03.01.2021 14:45","4179","4819"
"03.01.2021 14:45 - 03.01.2021 15:00","4185","4817"
"03.01.2021 15:00 - 03.01.2021 15:15","4188","4825"
"03.01.2021 15:15 - 03.01.2021 15:30","4211","4846"
"03.01.2021 15:30 - 03.01.2021 15:45","4236","4878"
"03.01.2021 15:45 - 03.01.2021 16:00","4285","4914"
"03.01.2021 16:00 - 03.01.2021 16:15","4389","4991"
"03.01.2021 16:15 - 03.01.2021 16:30","4560","5098"
"03.01.2021 16:30 - 03.01.2021 16:45","4725","5195"
"03.01.2021 16:45 - 03.01.2021 17:00","4860","5224"
"03.01.2021 17:00 - 03.01.2021 17:15","4894","5234"
"03.01.2021 17:15 - 03.01.2021 17:30","4874","5215"
"03.01.2021 17:30 - 03.01.2021 17:45","4870","5215"
"03.01.2021 17:45 - 03.01.2021 18:00","4855","5200"
"03.01.2021 18:00 - 03.01.2021 18:15","4822","5195"
"03.01.2021 18:15 - 03.01.2021 18:30","4803","5176"
"03.01.2021 18:30 - 03.01.2021 18:45","4781","5166"
"03.01.2021 18:45 - 03.01.2021 19:00","4783","5174"
"03.01.2021 19:00 - 03.01.2021 19:15","4775","5154"
"03.01.2021 19:15 - 03.01.2021 19:30","4753","5122"
"03.01.2021 19:30 - 03.01.2021 19:45","4748","5093"
"03.01.2021 19:45 - 03.01.2021 20:00","4735","5088"
"03.01.2021 20:00 - 03.01.2021 20:15","4711","5041"
"03.01.2021 20:15 - 03.01.2021 20:30","4701","5000"
"03.01.2021 20:30 - 03.01.2021 20:45","4692","4975"
"03.01.2021 20:45 - 03.01.2021 21:00","4648","4910"
"03.01.2021 21:00 - 03.01.2021 21:15","4608","4841"
"03.01.2021 21:15 - 03.01.2021 21:30","4589","4812"
"03.01.2021 21:30 - 03.01.2021 21:45","4515","4733"
"03.01.2021 21:45 - 03.01.2021 22:00","4427","4648"
"03.01.2021 22:00 - 03.01.2021 22:15","4388","4590"
"03.01.2021 22:15 - 03.01.2021 22:30","4329","4541"
"03.01.2021 22:30 - 03.01.2021 22:45","4284","4506"
"03.01.2021 22:45 - 03.01.2021 23:00","4224","4427"
"03.01.2021 23:00 - 03.01.2021 23:15","4176","4357"
"03.01.2021 23:15 - 03.01.2021 23:30","4103","4281"
"03.01.2021 23:30 - 03.01.2021 23:45","4076","4251"
"03.01.2021 23:45 - 04.01.2021 00:00","4006","4188"
"04.01.2021 00:00 - 04.01.2021 00:15","3905","4056"
"04.01.2021 00:15 - 04.01.2021 00:30","3852","4000"
"04.01.2021 00:30 - 04.01.2021 00:45","3810","3978"
"04.01.2021 00:45 - 04.01.2021 01:00","3750","3932"
"04.01.2021 01:00 - 04.01.2021 01:15","3732","3914"
"04.01.2021 01:15 - 04.01.2021 01:30","3688","3882"
"04.01.2021 01:30 - 04.01.2021 01:45","3677","3861"
"04.01.2021 01:45 - 04.01.2021 02:00","3684","3814"
"04.01.2021 02:00 - 04.01.2021 02:15","3624","3763"
"04.01.2021 02:15 - 04.01.2021 02:30","3587","3743"
"04.01.2021 02:30 - 04.01.2021 02:45","3536","3707"
"04.01.2021 02:45 - 04.01.2021 03:00","3526","3683"
"04.01.2021 03:00 - 04.01.2021 03:15","3529","3675"
"04.01.2021 03:15 - 04.01.2021 03:30","3447","3657"
"04.01.2021 03:30 - 04.01.2021 03:45","3453","3665"
"04.01.2021 03:45 - 04.01.2021 04:00","3439","3666"
"04.01.2021 04:00 - 04.01.2021 04:15","3506","3712"
"04.01.2021 04:15 - 04.01.2021 04:30","3553","3757"
"04.01.2021 04:30 - 04.01.2021 04:45","3599","3810"
"04.01.2021 04:45 - 04.01.2021 05:00","3689","3886"
"04.01.2021 05:00 - 04.01.2021 05:15","3741","4013"
"04.01.2021 05:15 - 04.01.2021 05:30","3835","4107"
"04.01.2021 05:30 - 04.01.2021 05:45","4007","4235"
"04.01.2021 05:45 - 04.01.2021 06:00","4169","4375"
"04.01.2021 06:00 - 04.01.2021 06:15","4447","4675"
"04.01.2021 06:15 - 04.01.2021 06:30","4685","4881"
"04.01.2021 06:30 - 04.01.2021 06:45","4874","5038"
"04.01.2021 06:45 - 04.01.2021 07:00","5014","5163"
"04.01.2021 07:00 - 04.01.2021 07:15","5101","5306"
"04.01.2021 07:15 - 04.01.2021 07:30","5110","5332"
"04.01.2021 07:30 - 04.01.2021 07:45","5186","5386"
"04.01.2021 07:45 - 04.01.2021 08:00","5196","5434"
"04.01.2021 08:00 - 04.01.2021 08:15","5203","5489"
"04.01.2021 08:15 - 04.01.2021 08:30","5273","5549"
"04.01.2021 08:30 - 04.01.2021 08:45","5326","5605"
"04.01.2021 08:45 - 04.01.2021 09:00","5332","5633"
"04.01.2021 09:00 - 04.01.2021 09:15","5377","5691"
"04.01.2021 09:15 - 04.01.2021 09:30","5401","5711"
"04.01.2021 09:30 - 04.01.2021 09:45","5421","5723"
"04.01.2021 09:45 - 04.01.2021 10:00","5431","5728"
"04.01.2021 10:00 - 04.01.2021 10:15","5446","5738"
"04.01.2021 10:15 - 04.01.2021 10:30","5468","5766"
"04.01.2021 10:30 - 04.01.2021 10:45","5496","5784"
"04.01.2021 10:45 - 04.01.2021 11:00","5498","5786"
"04.01.2021 11:00 - 04.01.2021 11:15","5526","5806"
"04.01.2021 11:15 - 04.01.2021 11:30","5572","5840"
"04.01.2021 11:30 - 04.01.2021 11:45","5605","5864"
"04.01.2021 11:45 - 04.01.2021 12:00","5627","5901"
"04.01.2021 12:00 - 04.01.2021 12:15","5651","5918"
"04.01.2021 12:15 - 04.01.2021 12:30","5653","5924"
"04.01.2021 12:30 - 04.01.2021 12:45","5654","5937"
"04.01.2021 12:45 - 04.01.2021 13:00","5631","5907"
"04.01.2021 13:00 - 04.01.2021 13:15","5644","5915"
"04.01.2021 13:15 - 04.01.2021 13:30","5634","5887"
"04.01.2021 13:30 - 04.01.2021 13:45","5601","5842"
"04.01.2021 13:45 - 04.01.2021 14:00","5537","5775"
"04.01.2021 14:00 - 04.01.2021 14:15","5570","5811"
"04.01.2021 14:15 - 04.01.2021 14:30","5570","5804"
"04.01.2021 14:30 - 04.01.2021 14:45","5603","5840"
"04.01.2021 14:45 - 04.01.2021 15:00","5559","5849"
"04.01.2021 15:00 - 04.01.2021 15:15","5574","5860"
"04.01.2021 15:15 - 04.01.2021 15:30","5578","5845"
"04.01.2021 15:30 - 04.01.2021 15:45","5590","5886"
"04.01.2021 15:45 - 04.01.2021 16:00","5609","5898"
"04.01.2021 16:00 - 04.01.2021 16:15","5590","5897"
"04.01.2021 16:15 - 04.01.2021 16:30","5697","5991"
"04.01.2021 16:30 - 04.01.2021 16:45","5746","6066"
"04.01.2021 16:45 - 04.01.2021 17:00","5810","6069"
"04.01.2021 17:00 - 04.01.2021 17:15","5817","6055"
"04.01.2021 17:15 - 04.01.2021 17:30","5780","6017"
"04.01.2021 17:30 - 04.01.2021 17:45","5742","5974"
"04.01.2021 17:45 - 04.01.2021 18:00","5725","5949"
"04.01.2021 18:00 - 04.01.2021 18:15","5694","5883"
"04.01.2021 18:15 - 04.01.2021 18:30","5678","5889"
"04.01.2021 18:30 - 04.01.2021 18:45","5673","5883"
"04.01.2021 18:45 - 04.01.2021 19:00","5679","5877"
"04.01.2021 19:00 - 04.01.2021 19:15","5638","5848"
