"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"03.01.2021 00:15 - 03.01.2021 00:30","42692","45138"
"03.01.2021 00:30 - 03.01.2021 00:45","42157","44590"
"03.01.2021 00:45 - 03.01.2021 01:00","41790","44081"
"03.01.2021 01:00 - 03.01.2021 01:15","41117","43640"
"03.01.2021 01:15 - 03.01.2021 01:30","40573","43034"
"03.01.2021 01:30 - 03.01.2021 01:45","40019","42563"
"03.01.2021 01:45 - 03.01.2021 02:00","39661","42294"
"03.01.2021 02:00 - 03.01.2021 02:15","39765","41999"
"03.01.2021 02:15 - 03.01.2021 02:30","39615","41759"
"03.01.2021 02:30 - 03.01.2021 02:45","39287","41573"
"03.01.2021 02:45 - 03.01.2021 03:00","39201","41568"
"03.01.2021 03:00 - 03.01.2021 03:15","39180","41643"
"03.01.2021 03:15 - 03.01.2021 03:30","39280","41723"
"03.01.2021 03:30 - 03.01.2021 03:45","38968","41847"
"03.01.2021 03:45 - 03.01.2021 04:00","39101","41862"
"03.01.2021 04:00 - 03.01.2021 04:15","39008","42152"
"03.01.2021 04:15 - 03.01.2021 04:30","39008","42162"
"03.01.2021 04:30 - 03.01.2021 04:45","38938","42288"
"03.01.2021 04:45 - 03.01.2021 05:00","38935","42475"
"03.01.2021 05:00 - 03.01.2021 05:15","38951","42978"
"03.01.2021 05:15 - 03.01.2021 05:30","38616","42849"
"03.01.2021 05:30 - 03.01.2021 05:45","38629","42935"
"03.01.2021 05:45 - 03.01.2021 06:00","38257","42699"
"03.01.2021 06:00 - 03.01.2021 06:15","38013","42486"
"03.01.2021 06:15 - 03.01.2021 06:30","37845","42706"
"03.01.2021 06:30 - 03.01.2021 06:45","38157","42933"
"03.01.2021 06:45 - 03.01.2021 07:00","38077","43226"
"03.01.2021 07:00 - 03.01.2021 07:15","38381","43631"
"03.01.2021 07:15 - 03.01.2021 07:30","38688","43800"
"03.01.2021 07:30 - 03.01.2021 07:45","39084","44271"
"03.01.2021 07:45 - 03.01.2021 08:00","39802","45034"
"03.01.2021 08:00 - 03.01.2021 08:15","40598","46044"
"03.01.2021 08:15 - 03.01.2021 08:30","41079","46889"
"03.01.2021 08:30 - 03.01.2021 08:45","41881","47393"
"03.01.2021 08:45 - 03.01.2021 09:00","42765","48218"
"03.01.2021 09:00 - 03.01.2021 09:15","43538","49284"
"03.01.2021 09:15 - 03.01.2021 09:30","44610","50198"
"03.01.2021 09:30 - 03.01.2021 09:45","45355","51048"
"03.01.2021 09:45 - 03.01.2021 10:00","45743","51671"
"03.01.2021 10:00 - 03.01.2021 10:15","46733","52198"
"03.01.2021 10:15 - 03.01.2021 10:30","47728","53081"
"03.01.2021 10:30 - 03.01.2021 10:45","48165","53738"
"03.01.2021 10:45 - 03.01.2021 11:00","48638","54458"
"03.01.2021 11:00 - 03.01.2021 11:15","49379","55642"
"03.01.2021 11:15 - 03.01.2021 11:30","50290","56431"
"03.01.2021 11:30 - 03.01.2021 11:45","50770","57203"
"03.01.2021 11:45 - 03.01.2021 12:00","50966","57520"
"03.01.2021 12:00 - 03.01.2021 12:15","51174","57595"
"03.01.2021 12:15 - 03.01.2021 12:30","51129","57462"
"03.01.2021 12:30 - 03.01.2021 12:45","50524","57331"
"03.01.2021 12:45 - 03.01.2021 13:00","50062","57061"
"03.01.2021 13:00 - 03.01.2021 13:15","49881","56802"
"03.01.2021 13:15 - 03.01.2021 13:30","49688","56618"
"03.01.2021 13:30 - 03.01.2021 13:45","49285","56314"
"03.01.2021 13:45 - 03.01.2021 14:00","48601","55887"
"03.01.2021 14:00 - 03.01.2021 14:15","48243","55473"
"03.01.2021 14:15 - 03.01.2021 14:30","47990","55195"
"03.01.2021 14:30 - 03.01.2021 14:45","47585","55259"
"03.01.2021 14:45 - 03.01.2021 15:00","47762","55133"
"03.01.2021 15:00 - 03.01.2021 15:15","47482","55592"
"03.01.2021 15:15 - 03.01.2021 15:30","47555","55465"
"03.01.2021 15:30 - 03.01.2021 15:45","47594","55604"
"03.01.2021 15:45 - 03.01.2021 16:00","47767","55555"
"03.01.2021 16:00 - 03.01.2021 16:15","47791","55654"
"03.01.2021 16:15 - 03.01.2021 16:30","48383","56460"
"03.01.2021 16:30 - 03.01.2021 16:45","49298","57312"
"03.01.2021 16:45 - 03.01.2021 17:00","50327","58094"
"03.01.2021 17:00 - 03.01.2021 17:15","51396","59274"
"03.01.2021 17:15 - 03.01.2021 17:30","52185","60178"
"03.01.2021 17:30 - 03.01.2021 17:45","53034","60405"
"03.01.2021 17:45 - 03.01.2021 18:00","53293","60326"
"03.01.2021 18:00 - 03.01.2021 18:15","53815","60372"
"03.01.2021 18:15 - 03.01.2021 18:30","53546","60297"
"03.01.2021 18:30 - 03.01.2021 18:45","53481","59835"
"03.01.2021 18:45 - 03.01.2021 19:00","53242","59468"
"03.01.2021 19:00 - 03.01.2021 19:15","53187","58885"
"03.01.2021 19:15 - 03.01.2021 19:30","52623","58350"
"03.01.2021 19:30 - 03.01.2021 19:45","52325","57724"
"03.01.2021 19:45 - 03.01.2021 20:00","51891","57278"
"03.01.2021 20:00 - 03.01.2021 20:15","51623","56905"
"03.01.2021 20:15 - 03.01.2021 20:30","50754","56086"
"03.01.2021 20:30 - 03.01.2021 20:45","49989","55318"
"03.01.2021 20:45 - 03.01.2021 21:00","49273","54373"
"03.01.2021 21:00 - 03.01.2021 21:15","48995","54456"
