"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|FR","Without Sequence","69.77","",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|FR","Without Sequence","64.31","",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|FR","Without Sequence","62.39","",""
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|FR","Without Sequence","77.00","",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|FR","Without Sequence","65.85","",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|FR","Without Sequence","63.78","",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|FR","Without Sequence","51.51","",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|FR","Without Sequence","49.35","",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|FR","Without Sequence","55.63","",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|FR","Without Sequence","65.00","",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|FR","Without Sequence","83.98","",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|FR","Without Sequence","95.02","",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|FR","Without Sequence","99.00","",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|FR","Without Sequence","93.83","",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|FR","Without Sequence","97.87","",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|FR","Without Sequence","100.00","",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|FR","Without Sequence","92.14","",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|FR","Without Sequence","80.40","",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|FR","Without Sequence","83.57","",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|FR","Without Sequence","89.68","",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|FR","Without Sequence","100.00","",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|FR","Without Sequence","106.95","",""
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|FR","Without Sequence","108.97","",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|FR","Without Sequence","95.85","",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|FR","Without Sequence","78.37","",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|FR","Without Sequence","71.68","",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|FR","Without Sequence","65.04","",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|FR","Without Sequence","57.45","",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|FR","Without Sequence","56.41","",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|FR","Without Sequence","55.17","",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|FR","Without Sequence","51.76","",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|FR","Without Sequence","50.86","",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|FR","Without Sequence","56.45","",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|FR","Without Sequence","65.75","",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|FR","Without Sequence","86.93","",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|FR","Without Sequence","103.54","",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|FR","Without Sequence","110.45","",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|FR","Without Sequence","109.96","",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|FR","Without Sequence","106.82","",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|FR","Without Sequence","102.37","",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|FR","Without Sequence","97.61","",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|FR","Without Sequence","95.00","",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|FR","Without Sequence","95.42","",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|FR","Without Sequence","95.00","",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|FR","Without Sequence","110.00","",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|FR","Without Sequence","113.37","",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|FR","Without Sequence","114.89","",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|FR","Without Sequence","88.06","",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|FR","Without Sequence","78.37","",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|FR","Without Sequence","65.60","",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|FR","Without Sequence","69.27","",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|FR","Without Sequence","61.90","",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|FR","Without Sequence","58.38","",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|FR","Without Sequence","55.96","",""
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|FR","Without Sequence","51.88","",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|FR","Without Sequence","50.25","",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|FR","Without Sequence","50.25","",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|FR","Without Sequence","51.39","",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|FR","Without Sequence","55.62","",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|FR","Without Sequence","59.80","",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|FR","Without Sequence","66.92","",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|FR","Without Sequence","67.71","",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|FR","Without Sequence","68.00","",""
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|FR","Without Sequence","67.01","",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|FR","Without Sequence","62.53","",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|FR","Without Sequence","60.00","",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|FR","Without Sequence","60.00","",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|FR","Without Sequence","62.78","",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|FR","Without Sequence","69.92","",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|FR","Without Sequence","71.99","",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|FR","Without Sequence","68.95","",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|FR","Without Sequence","62.66","",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|FR","Without Sequence","59.00","",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|FR","Without Sequence","56.53","",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|FR","Without Sequence","54.86","",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|FR","Without Sequence","56.86","",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|FR","Without Sequence","55.75","",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|FR","Without Sequence","53.14","",""
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|FR","Without Sequence","49.03","",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|FR","Without Sequence","48.45","",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|FR","Without Sequence","49.07","",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|FR","Without Sequence","50.87","",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|FR","Without Sequence","50.23","",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|FR","Without Sequence","51.60","",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|FR","Without Sequence","57.43","",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|FR","Without Sequence","59.45","",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|FR","Without Sequence","61.53","",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|FR","Without Sequence","60.39","",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|FR","Without Sequence","56.41","",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|FR","Without Sequence","53.18","",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|FR","Without Sequence","54.85","",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|FR","Without Sequence","56.52","",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|FR","Without Sequence","62.09","",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|FR","Without Sequence","65.11","",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|FR","Without Sequence","73.91","",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|FR","Without Sequence","63.58","",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|FR","Without Sequence","57.43","",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|FR","Without Sequence","56.84","",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|FR","Without Sequence","60.72","",""
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|FR","Without Sequence","58.25","",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|FR","Without Sequence","53.19","",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|FR","Without Sequence","50.87","",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|FR","Without Sequence","47.69","",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|FR","Without Sequence","46.36","",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|FR","Without Sequence","52.30","",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|FR","Without Sequence","62.51","",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|FR","Without Sequence","77.90","",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|FR","Without Sequence","86.40","",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|FR","Without Sequence","89.06","",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|FR","Without Sequence","77.20","",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|FR","Without Sequence","74.07","",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|FR","Without Sequence","72.94","",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|FR","Without Sequence","71.38","",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|FR","Without Sequence","69.21","",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|FR","Without Sequence","69.04","",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|FR","Without Sequence","69.81","",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|FR","Without Sequence","75.00","",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|FR","Without Sequence","83.00","",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|FR","Without Sequence","79.63","",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|FR","Without Sequence","70.95","",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|FR","Without Sequence","64.41","",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|FR","Without Sequence","62.25","",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|FR","Without Sequence","61.12","",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|FR","Without Sequence","56.18","",""
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|FR","Without Sequence","55.26","",""
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|FR","Without Sequence","54.67","",""
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|FR","Without Sequence","48.16","",""
"12/01/2021 04:00:00 - 12/01/2021 05:00:00","BZN|FR","Without Sequence","46.57","",""
"12/01/2021 05:00:00 - 12/01/2021 06:00:00","BZN|FR","Without Sequence","48.86","",""
